rank,value_rating,model,price,signature,comments,tone_grade,technical_grade,driver_type,fit_cup,based_on,note_weight,ranksort,tonesort,techsort,pricesort
B+,,MrSpeakers Ether C,Discontinued1500(Replaced by Ether C Flow),DF-neutral,"Forward, in-your-face sound that's shouty and thin at the same time. A good reference for ""true DF neutral"".",A,B,Planar,Closed Circumaural,Third party unit,,78,21,57,1500
B+,★,Shure SRH1540,500,Neutral with bass boost,"Almost ""Harman"" tuning with some undesirable mid-bass bloat. ",A,B,Dynamic,Closed Circumaural,Connect IT demo unit,,78,21,57,500
B+,★★,AKG K702,350,Mid-centric,Slightly more upper-mid-forward (read: shoutier) version of the K612.,A,B,Dynamic,Open Circumaural,Connect IT demo unit,,78,21,57,350
B+,,Stax SR-L500,792+975(SRM-353X),Neutral,Generally pleasing tuning with a little honkiness in the centre-midrange.,B-,S-,Electrostatic,Open Circumaural,Zeppelin & Co demo unit,,80,73,7,1767
B+,★★★,Shure SRH840,150,V-shaped,Extremely well-executed V-shaped tuning with no erronous peaks or dips. More mid-bassy than sub-bassy.,A+,B-,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,86,13,73,150
B,,Stax SR-L300,430+975(SRM-353X),Neutral,"Generally pleasing tuning, though a little honky and fatiguing in the treble.",B,A-,Electrostatic,Open Circumaural,Zeppelin & Co demo unit,,88,57,31,1405
B,,ZMF Aeolus(Pref. suede Universe pads),1200,Bright neutral,"Tonally, a vast improvement over the Aeolus with stock pads, bringing in extra clarity and bite.",B,A-,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,88,57,31,1200
B,★,AKG K701,450,Bright neutral,"The brightest and arguably harshest of the K7-- lineup, but still very competent overall.",A-,B,Dynamic,Open Circumaural,Connect IT demo unit,,88,31,57,1100
B,,Hifiman HE6se,1100(HE6se),Neutral,Comes with an odd midrange dip. It's no HE6 replacement for sure.,B-,A,Planar,Open Circumaural,AV One demo unit,,94,73,21,950
B,,Hifiman HE560(V1),950(HE560),Neutral,"Slight wonkiness around the lower midrange, but otherwise a capable planar headphone.",B-,A,Planar,Open Circumaural,Third party unit,,94,73,21,99999
B,,Final D8000 Pro,4300,Bright,"Highly resolving headphone with solid imaging capabilities, limited by its somewhat wonky tonality.",B-,A,Planar,Open Circumaural,Zeppelin & Co demo unit,,94,73,21,4300
B,,Final Audio D8000,4000,Bright,High treble-to-midrange contrast makes things sound shrill and borderline-sibilant.,B-,A,Planar,Open Circumaural,Zeppelin & Co demo unit,,94,73,21,4000
B,,RAAL-requisite SR1a,4000(Jotunheim R bundle),Neutral,"Weak, limp bass is the killing blow for what is an otherwise highly resolving and decently-tuned earspeaker.",B-,A,Ribbon,Earspeaker,Treoo demo unit,,94,73,21,4000
B,★,Sennheiser HD560S,200,Neutral,"Well-balanced tonality with good bass extension, just slightly hot in the upper-mids and treble.",A,B-,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,94,21,73,200
B,★★,AKG K371,150,Harman,"Expectedly Harman tuning but lacks a bit of bite in the upper midrange for ""true Harman"".",A,B-,Dynamic,Closed Circumaural,Third party unit,,94,21,73,150
B,,Focal Stellia,3000,Neutral with bass boost,"""Harman-inspired"" tuning works decently well, though a myriad of small quirks ultimately screws its tonal balance.",C+,S-,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,98,91,7,3000
B,,Stax SR-L700,1570+975(SRM-353X),Neutral,"Probably the most balanced tuning of the L-series, with the usual e-stat technicalities.",C+,S-,Electrostatic,Open Circumaural,Zeppelin & Co demo unit,,98,91,7,2545
B,,ZMF Verite Closed(Hybrid Universe pads),2500,Neutral with bass boost,"Far more tonally balanced than its open counterpart, whilst retaining its reverberant staging.",C+,S-,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,98,91,7,2500
B,,Audio Technica ATH-ADX5000,2000,Bright neutral,"Clean, open sound reminsicent of the HD800, with a bit of midbass bloat and upper midrange shoutiness.",C+,S-,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,98,91,7,2000
B,,Stax SR-L300 Limited,900+975(SRM-353X),Neutral,Honkier version of the standard L300.,C+,S-,Electrostatic,Open Circumaural,Third party unit,,98,91,7,1875
B,★,Hifiman Deva,300,Neutral,"Probably the most ""mellow"" of the Hifiman planars with the least resolving ability.",S-,C+,Planar,Open Circumaural,Stereo demo unit,,98,7,91,300
B,★★★,Shure SRH440,100,Harman,Closest thing to Harman thus far. Comes with a small upper treble spike and lacking raw resolution.,S-,C+,Dynamic,Closed Circumaural,Connect IT demo unit,,98,7,91,100
B,,Sony MDR-SA5000(w/ AliExpress replacement pads),400(MDR-SA5000),Bass-rolled neutral,Surprisingly competent for a decades-old set. Midrange is a little uneven but beats out many other modern TOTLs.,B,B+,Dynamic,Open Circumaural,Third party unit,,100,57,43,400
B,,Hifiman HE5,600(HE5),Neutral,The original Hifiman. Midrange is a little too scooped out but remains competitive even today.,B+,B,Planar,Open Circumaural,Third party unit,,100,43,57,600
B,,Denon AH-D5000,480(AH-D5000),V-shaped,"The usual ""Foster biodyna dynamics"" are at play here, with a somewhat fatiguing treble spike.",B,B+,Dynamic,Semi-open Circumaural,Jaben SG demo unit,,100,57,43,480
B,,Kennerton Odin,3600(Bog Oak),Warm neutral,"Generally ""okay"" tonality with some odd dips here and there. Lacking serious extension for a planar.",B+,B,Planar,Open Circumaural,Zeppelin & Co demo unit,,100,43,57,3600
B,,Kennerton Thror,3600(Bog Oak),Warm neutral,"Kind of a ""nothing headphone""; not bad, not great, just good enough to be okay.",B+,B,Planar,Open Circumaural,Zeppelin & Co demo unit,,100,43,57,3600
B,,Focal Radiance,1300,Harman neutral,"Probably the best of the closed-back Focals. Some tuning refinements over the Stellia, though technically limited.",B+,B,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,100,43,57,1300
B,★,Sennheiser HD660S,400,Warm neutral,An even darker HD6X0. A comparatively muffled mess just barely propped up by its decent resolving ability.,B,B+,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,100,57,43,400
B,★,Beyerdynamic DT880 Pro(32Ω),350,Warm V-shape,"Certainly a ""mini-HD800"" in terms of tonality only, however still far inferior in technical ability.",B+,B,Dynamic,Open Circumaural,Jaben SG demo unit,,100,43,57,350
B,★,HarmonicDyne Zeus,350,Warm,A rare combination of a warm-focused tonality with decent technicalities.,B+,B,Dynamic,Open Circumaural,Review unit,,100,43,57,350
B,,Focal Clear Mg,1500,Warm neutral,Lacks upper mids and resolution compared to its predecessor.,B-,A-,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,104,73,31,1500
B,,Audeze LCD-XC,1300,"""Balanced""","Definitely the least Audeze-sounding Audeze. A little quirky tonally, but nothing too offensive.",B-,A-,Planar,Closed Circumaural,AV One demo unit,,104,73,31,1300
B,,Focal Elear,1000,Warm neutral,Subdued upper midrange with the odd treble spike makes this a weird headphone to listen to.,B-,A-,Dynamic,Open Circumaural,Treoo demo unit,,104,73,31,1000
B,★,Sennheiser Momentum 3 Wireless,350,U-shaped,A massive improvement over its predecessor. Limited resolution and potentially intense tonality.,A-,B-,Dynamic,Closed Circumaural,Showfloor demo unit,,104,31,73,350
B,,Meze Empyrean,3000,Warm,Bland and unexciting tuning with compressed staging and generally underperforming technicalities.,B,B,Planar,Open Circumaural,Zeppelin & Co demo unit,,114,57,57,3000
B,★,Beyerdynamic DT990 Pro(250Ω),200,V-shaped,Pretty bog-standard V-shaped response with forward upper-midrange and decently high resolution.,B,B,Dynamic,Open Circumaural,Jaben SG demo unit,,114,57,57,200
B,★,Beyerdynamic TYGR 300 R,200,V-shaped,Very reminiscent of the DT990.,B,B,Dynamic,Open Circumaural,Stereo demo unit,,114,57,57,200
B,★★,Hifiman HE400i (2020),170,Neutral,Well-executed reference-ish tuning with a slight treble emphasis.,B,B,Planar,Open Circumaural,Treoo demo unit,,114,57,57,170
B-,,Hifiman HE500(w/ FocusPad-A),900(HE500),Warm neutral,Perhaps the warmest of the Hifiman lineup. Not the most resolving.,B+,B-,Planar,Open Circumaural,Third party unit,,116,43,73,900
B-,★,Sivga Phoenix,300,Warm neutral,A fairly competent warm-neutral monitor slightly held back by limited detail retrieval.,B+,B-,Dynamic,Open Circumaural,Review unit,,116,43,73,300
B-,,Audeze LCD-24,3500,Warm neutral,"A slight tonal improvement over the LCD-4, but also comes with a slight hit in resolution.",C,S-,Planar ,Open Circumaural,AV One demo unit,,118,111,7,3500
B-,,Abyss Diana PhiAbyss Diana V2,3000 (V2)4000 (Phi),Warm,Needs a little more upper midrange to balance out the honkiness. Good dynamic performance especially in the bass.,C,A+,Planar,Open Circumaural,AV One demo unit,,124,111,13,3000
B-,,Audeze LCD-X (2021),1200,Warm neutral,"Tonally, a massive improvement over the previous version(s) though with the usual pitfalls of the Audeze house sound.",C,A+,Planar,Open Circumaural,Review unit,,124,111,13,1200
B-,,Denon AH-D5200,700,Warm neutral,Probably the least wonky of the new Denons. Suffers from some mid-bass bloat.,B-,B,Dynamic,Closed Circumaural,Connect IT demo unit,,130,73,57,700
B-,,Beyerdynamic DT1990 Pro(Balanced pads),600,Warm V-shape,"An intense sound given its significant treble boost, but countered by a smooth lower-midrange bump.",B-,B,Dynamic,Open Circumaural,Jaben SG demo unit,,130,73,57,600
B-,★,Audio Technica ATH-M70x,300,Neutral,The most neutral of the M-series. Good tonality but still suffers from narrow imaging.,B,B-,Dynamic,Closed Circumaural,E1 demo unit,,130,57,73,300
B-,★,Sennheiser HD25 Plus,200,U-shaped,"Punchy, energetic sound with decently balanced tonality. A pretty good beat-tracking monitor.",B,B-,Dynamic,Closed Supra-aural,Stereo demo unit,,130,57,73,200
B-,,Audeze LCD-GX,900,Warm neutral,"As a gaming headphone, possibly the best technically though with the usual pitfalls of the Audeze house sound.",C,A,Planar,Open Circumaural,AV One demo unit,,132,111,21,900
B-,,Audeze LCD-2 Closed-back,900,Warm V-shape,"Not the worst Audeze in terms of tonality, but its tuning still doesn't live up to its technical capabilities.",C,A,Planar,Closed Circumaural,Stereo demo unit,,132,111,21,900
B-,,Audeze LCD-2 Classic,800,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,C,A,Planar,Open Circumaural,Stereo demo unit,,132,111,21,800
B-,★,BLON B20,450,Warm neutral,"Basically a darker planar HD6X0, with equally closed-in staging and lacking the final resolving edge.",A,C,Planar,Open Circumaural,Review unit,,132,21,111,450
B-,★,Massdrop x Koss ESP/95X,450,Mid-centric,"Good resolving ability and imaging, marred by its odd and honky midrange.",C,A,Electrostatic,Open Circumaural,Third party unit,,132,111,21,450
B-,★★★,Koss KSC75,20,Bass-rolled neutral,Non-existent sub-bass and poor resolution. But it's so well-tuned you may not even care.,A,C,Dynamic,Open Clip-on,Personal unit,,132,21,111,20
B-,,Apple AirPods Max,550,U-shaped,"Great tonality, sub-focused bass emphasis, bassy without being muddy. Average imaging and resolution.",B+,C+,Dynamic,Closed Circumaural,Personal unit,,134,43,91,550
B-,★,ASTRO A40 TR,150,Warm V-shape,"Middling technicalities, but for a gaming headphone its tonality is surprisingly balanced. ",B+,C+,Dynamic,Closed Circumaural,Connect IT demo unit,,134,43,91,150
B-,,ZMF Verite(Pref. lambskin Verite pads),2500,Warm,Excellent resolution unfortunately marred by suppressed harmonics and a harsh upper-midrange.,C-,S-,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,140,133,7,2500
B-,,ES Lab ES-1a,2050,Bright neutral,"Seems inspired by the tuning of the SR-009 with some minor improvements, though not enough to call it ""good"".",C-,S-,Electrostatic,Open Circumaural,Third party unit,,140,133,7,2050
B-,★,Audio Technica ATH-M40x,100,Neutral with bass boost,Well-balanced tonality with disappointing detailing and claustrophobic imaging.,A-,C,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,142,31,111,100
B-,★,Moondrop Void,200,Warm neutral,"Slightly midbass/lower-mid emphasised with good tonal balance, if rather ""cheap""-sounding.",A-,C,Dynamic,Open Circumaural,Review unit,,142,31,111,340
B-,,Fostex TR80,220(TR80),Neutral with bass boost,"A very well-tuned monitor-style headphone, if heavily bottlenecked by narrow imaging and blunt hits.",A+,C-,Dynamic,Open Circumaural,AV One demo unit,,146,13,133,220
B-,★,E-MU Walnut,100,"""Balanced""","Tonality is somewhat off with peaks and dips here and there, but overall not a bad sounding headphone.",B-,B-,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,146,73,73,100
C+,,Acoustic Research AR-H1,600(AR-H1),Neutral,"A tempered, almost bright-leaning planar (but not quite). Decent tonality and technical ability.",C+,B,Dynamic,Open Circumaural,Jaben SG demo unit,,148,91,57,600
C+,,Beyerdynamic T5p (1st Gen),750(T5P),V-shaped,"Choppy midrange response is its biggest turnoff, but otherwise a decent V-shaped headphone.",C+,B,Dynamic,Closed Circumaural,Jaben SG demo unit,,148,91,57,750
C+,,Timsok TS-1024,2000,Warm V-shape,Somewhat warm midrange plagued with sharp and offensive treble.,C+,B,Planar,Open Circumaural,Review unit,,148,91,57,2000
C+,,Sendy Aiva,600,Warm neutral,"A slightly worse-tuned B20, kinda.",B,C+,Planar,Open Circumaural,AV One demo unit,,148,57,91,600
C+,,AKG K712 Pro,500,Warm,Sizeable mid-bass bloat that's barely reigned in by an equally sizeable upper-midrange emphasis.,C+,B,Dynamic,Open Circumaural,Connect IT demo unit,,148,91,57,500
C+,★,Sennheiser HD599,200,V-shaped,"A little too sharp, a little too midbassy, but overall not the most offensive headphone out there.",B,C+,Dynamic,Open Circumaural,Connect IT demo unit,,148,57,91,200
C+,★,Massdrop x AKG K7XX,200,Warm,A more bloated-sounding K712.,C+,B,Dynamic,Open Circumaural,Third party unit,,148,91,57,200
C+,★,HarmonicDyne Helios,180,V-shaped,Lack of bass extension is its biggest dealbreaker of what would be an otherwise solid headphone.,B,C+,Dynamic,Open Circumaural,Review unit,,148,57,91,180
C+,,Fostex TH7,80(TH7),Neutral,Fairly neutral monitor-style headphone with poor imaging and detail retrieval.,B+,C,Dynamic,Closed Circumaural,AV One demo unit,,154,43,111,80
C+,,Sony MDR-Z1R,1800,V-shaped,Holes in the midrange. Big spike in the treble. Strangely disjointed soundstage. Decently resolving.,C,B+,Dynamic,Closed Circumaural,Connect IT demo unit,,154,111,43,1800
C+,,Fostex TH900,1600,V-shaped,Spicy sibilance and bloated bass are disappointments in what is otherwise an extremely dynamic headphone.,C-,A,Dynamic,Closed Circumaural,AV One demo unit,,154,133,21,1600
C+,,DCA Aeon 2 Closed,900,U-shaped,Passable tonality with dulled and blunted transients make for lacklustre detailing.,B+,C,Planar,Closed Circumaural,Stereo demo unit,,154,43,111,900
C+,,Stax SR-009/SR-009S,4325+975(SRM-353X),Bright neutral,"Detail and resolution worthy of being called ""the best"", marred by the tonally-off midrange.",D+,S+,Electrostatic,Open Circumaural,Zeppelin & Co demo unit,,158,157,1,5300
C+,,Audeze LCD-4,4000+3000(GS-X mk2),Warm,A classic example of a highly resolving yet wonky sounding headphone. Needs more upper midrange.,D+,S,Planar,Open Circumaural,AV One demo unit,,160,157,3,7000
C+,,Sony MDR-MA900,200(MDR-MA900),Bass-rolled neutral,Imaging as expected of an earspeaker configuration; surprisingly good tonality and expected bad extension.,C+,B-,Dynamic,Earspeaker,Third party unit,,164,91,73,200
C+,,Fostex TH909,1800,V-shaped,A slightly more balanced TH900 with similar sibilance issues.,C-,A-,Dynamic,Open Circumaural,AV One demo unit,,164,133,31,1800
C+,,Neumann NDH 20,500,Neutral with bass boost,Feels like an attempt at Harman but ultimately missing the mark in the midrange tuning.,C+,B-,Dynamic,Closed Circumaural,Third party unit,,164,91,73,500
C+,★,1MORE MK801,80,Neutral with bass boost,"Smooth, generally pleasing tonality throughout with no offensive characteristics.",A-,C-,Dynamic,Closed Circumaural,Jaben SG demo unit,,164,31,133,80
C+,,Rosson RAD-0,2600,Warm neutral,Middling technicalities with suppressed upper midrange.,C,B,Planar,Open Circumaural,E1 demo unit,,168,111,57,2600
C+,,Sony MDR-1AM2,300,Warm U-shape,Harman-ish tuning with a strong mid-bass presence and piercing upper treble response.,B,C,Dynamic,Closed Circumaural,Connect IT demo unit,,168,57,111,300
C+,★,Sennheiser HD579,200,Warm neutral,More or less a HD599 with slightly worse resolution.,B,C,Dynamic,Open Circumaural,Connect IT demo unit,,168,57,111,200
C+,,Abyss AB-1266 Phi CCAbyss AB-1266 Phi,Replaced with TC,"""Balanced""","Sinfully addictive bass and treble reponse, but the midrange tonality needs a lot of work.",D+,A+,Planar,Open Circumaural,AV One demo unit,,170,157,13,99999
C+,,Audeze LCD-MX4,3000,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,D+,A+,Planar,Open Circumaural,AV One demo unit,,170,157,13,3000
C+,,Hifiman HE5SE,700,V-shaped,"Strong contender for an excellent headphone, if not for the inexplicable hole in the mids.",D+,A,Planar,Open Circumaural,Connect IT demo unit,,178,157,21,700
C+,,Sony MDR-CD380,50(MDR-CD380),DF-neutral,"Shouty and thin-sounding, though surprisingly competent imaging ability.",C+,C+,Dynamic,Closed Circumaural,Third party unit,,182,91,91,50
C,,Stax SR-X Mk2,Discontinued,Bass-rolled neutral,Surprisingly good tonal balance marred by its complete absence of bass response.,C,B-,Electrostatic,Open Circumaural,Third party unit,,184,111,73,99999
C,,Audio Technica ATH-A900X,Discontinued300(Replaced by A990Z),Warm with bass boost,"Subdued upper mids and enhanced mid-bass. If anything else, this is a headphone that wouldn't fatigue.",C,B-,Dynamic,Closed Circumaural,Third party unit,,184,111,73,300
C,,Beyerdynamic DT860,Discontinued250(Replaced by DT880),Bright,Upwards-sloping bright and lean sound.,B-,C,Dynamic,Open Circumaural,Jaben SG demo unit,,184,73,111,250
C,,Focal Celestee,1000(Celestee),Neutral with bass boost,"Thin and uneven mids with narrow, congested staging.",B-,C,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,184,73,111,1000
C,,AudioQuest NightHawk,600(Nighthawk),Warm bassy,"Thick, grand, heavy... muddy.",C,B-,Dynamic,Open Circumaural,E1 demo unit,,184,111,73,600
C,,Audio Technica ATH-AWAS,1400,Mid-centric,Rolled off bass with somewhat suppressed treble. Not the worst but far from being tonally balanced.,C,B-,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,184,111,73,1400
C,,DCA Aeon 2 OpenDCA Aeon 2 Noire,900,Warm V-shape,Arguably the best tuned DCA headphone with a slightly thick midrange and least offensive treble.,B-,C,Planar,Open Circumaural,Connect IT demo unit,,184,73,111,900
C,,Beyerdynamic DT1770 Pro,600,U-shaped,A slightly more balanced version of the old DT770.,C,B-,Dynamic,Closed Circumaural,Jaben SG demo unit,,184,111,73,600
C,,Bose QuietComfort 35 II (QC35),350,V-shaped,The typical mainstream V-shape response with middling technicalities.,B-,C,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,184,73,111,350
C,,Harman Kardon FLY ANC,250,Neutral with bass boost,"Peaky, mid-bassy attempt at a Harman tuning.",B-,C,Dynamic,Closed Circumaural,Third party unit,,184,73,111,250
C,,Koss SP540,150,V-shaped,The typical mainstream V-shape response with middling technicalities.,B-,C,Dynamic,Closed Circumaural,Treoo demo unit,,184,73,111,150
C,,Audio Technica ATH-AD1000X,500(ATH-AD1000X),"""Balanced""",Quirky tuning with imbalanced upper harmonics. Similar to that of the AD2000.,C-,B,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,190,133,57,500
C,,Audio Technica ATH-AD2000,750(AD2000),"""Balanced""",Quirky tuning with imbalanced upper harmonics. Similar to that of the AD1000X.,C-,B,Dynamic,Open Circumaural,Third party unit,,190,133,57,750
C,,AKG K872 Pro,1500,"""Balanced""",Strange pad shape makes for wildly-varying bass. Generally a tonally weird headphone.,C-,B,Dynamic,Closed Circumaural,Connect IT demo unit,,190,133,57,1500
C,,ZMF Atticus(Suede Eikon pads),1100,Bassy,"Bloated bass with wonky midrange, a killer combination.",C-,B,Dynamic,Semi-open Circumaural,Zeppelin & Co demo unit,,190,133,57,1100
C,,Sony MDR-Z7M2,900,U-shaped,"Sounds like a ""Z1R-lite"", with arguably better bass response but peakier treble.",C-,B,Dynamic,Closed Circumaural,Connect IT demo unit,,190,133,57,900
C,,Audeze LCD-3,1950,Mid-centric,Classic Audeze combo of solid resolution with a confusing lack of upper midrange. Now with extra honk.,D,A+,Planar,Open Circumaural,Stereo demo unit,,196,183,13,1950
C,,Audeze LCD-1,400,Neutral,The best tuned Audeze headphone with the worst resolution.,B+,D+,Planar,Open Circumaural,Stereo demo unit,,200,43,157,400
C,,Fostex TH500(w/ worn pads),700(TH500),"""Balanced""","An interesting oldschool planar, vastly outpaced by today's market.",C,C+,Planar,Open Circumaural,AV One demo unit,,202,111,91,700
C,,Philips SHP9500,Discontinued80(Replaced by SHP9600),Bright,Decent imaging chops held back by its intensely bright presentation and below-average resolution.,C,C+,Dynamic,Open Circumaural,Third party unit,,202,111,91,80
C,,DCA Ether C Flow 1.1,1600,Neutral with bass boost,Sounds like something went wrong with the upper-midrange tuning.,C,C+,Planar,Open Circumaural,Stereo demo unit,,202,111,91,1600
C,,Campfire Cascade,800,Bassy,"Competent midrange tuning let down by a loose, bloated bass response.",C+,C,Dynamic,Closed Circumaural,Zeppelin & Co demo unit,,202,91,111,800
C,,Grado The Hemp Headphone,420,Bass-rolled neutral,"Nothing much different from your average Grado; paid extra for the novelty, not the sonic improvements.",C,C+,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,202,111,91,420
