_rank,value_rating,model,price,signature,comments,tone_grade,technical_grade,driver_type,status,ranksort,tonesort,techsort,pricesort
B+,★★,Samsung Galaxy Buds2 Pro,230,U-shaped,A less shouty interpretation of Harman with the same controlled yet impactful bass response.,S-,B,2DD,Available for demo at The Hangout,64,7,57,230
B+,★★,Tanchjim Oxygen,270,Mild V-shape,One of the best-tuned DDs tuned somewhat to Harman. Defined and detailed.,A,B+,DD,Available for demo at The Hangout,64,21,43,270
B+,★,Fearless S8Z,590,Warm neutral,"Solid all-rounder with a safe, pleasing tuning.",A,B+,8BA,Music Sanctuary demo unit,64,21,43,590
B+,★,Clariar i430,600,Mild V-shape,,A,B+,4BA,Zeppelin & Co demo unit,64,21,43,600
B+,★,qdc 4SS,700,Neutral,"High clarity, high resolution reference-type monitor with spot-on tone.",B+,A,4BA,Music Sanctuary demo unit,64,43,21,700
B+,,HYLA CE-5,915,U-shaped,Probably the best bass response I've ever heard. Thin-ish midrange that sounds unnatural on certain instruments.,B+,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit,64,43,21,915
B+,,Clariar i640,1200,V-shaped,,A,B+,6BA,Zeppelin & Co demo unit,64,21,43,1200
B+,,HYLA Sarda,1250,U-shaped,"Standard ""HYLA"" house sound, doesn't do much different from the CE-5 and TE-5B.",B+,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit,64,43,21,1250
B+,,HYLA TE-5B,1300,U-shaped,Similar to the CE-5 though ever-so-slightly thinner in the midrange.,B+,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit,64,43,21,1300
B+,,qdc 8SH,1450,Mild V-shape,"Tonally, a slightly wonkier variation of the top-tier qdc IEMs.",B+,A,8BA,Music Sanctuary demo unit,64,43,21,1450
B+,,qdc Tiger,1500,Mild V-shape,,B+,A,2EST 6BA,e-Earphone demo unit,64,43,21,1500
B+,,Fatfreq Maestro SE,1900,Neutral with bass boost,,A,B+,,Showfloor demo unit,64,21,43,1900
B+,,Jomo Trinity SS,2800,V-shaped,"Highly detailed, well separated imaging though severely lacking in treble extension.",B+,A,2EST 4BA 1DD,Showfloor demo unit,64,43,21,2800
B+,,Unique Melody Mason V3+,3200,Bright neutral,"Decent resolution, nothing really special otherwise.",B+,A,16BA,Munkong Gadget demo unit,64,43,21,3200
B+,★★★,Truthear Hexa,80,Neutral,,A+,B,3BA 1DD,Available for demo at The Hangout,70,13,57,80
B+,★★,AKG N400,155,U-shaped,Does away with the timbral issues of the Buds+ and sets itself as a superior.,A+,B,DD,Personal unit,70,13,57,155
B+,★★,Samsung Galaxy Buds Pro,200,Warm V-shape,"More lower mids than your average Harman-tuned IEM, but works in its favour by being more pleasant.",A+,B,2DD,Available for demo at The Hangout,70,13,57,200
B+,★★,Apple AirPods Pro 2,250,Mild V-shape,"A more exciting sound signature in comparison to its predecessor, with little in terms of drawbacks.",A+,B,DD,Available for demo at The Hangout,70,13,57,250
B+,★★,Softears Volume,285,Mild V-shape,,A+,B,2BA 1DD,Available for demo at The Hangout,70,13,57,285
B+,★,Fatfreq Maestro Mini,450,Neutral with bass boost,,A+,B,2BA 1DD,Showfloor demo unit,70,13,57,450
B+,,Gaudio Nair,862,Neutral,Well-tuned neutral monitor bottlenecked by timbre and resolution.,A+,B,3BA,Available for demo at The Hangout,70,13,57,862
B+,,Sennheiser IE900,1300,U-shaped,"Well-resolving DD IEM with excellent treble control, though with somewhat weak mid-high harmonics.",B,A+,DD,Review loaner,70,57,13,1300
B+,,Noble Khan,2300,U-shaped,"Clean yet lean, solid low-end rumble but treble get splashy. Technical but lacking naturalness.",B,A+,1Piezo 4BA 1DD,Third party unit,70,57,13,2300
B+,,Noble Kublai Khan,2600,U-shaped,,B,A+,1Piezo 1BC 4BA 1DD,e-Earphone demo unit,70,57,13,2600
B+,★★,Etymotic ER3SE/ER3XR,160,Warm neutral,An ER4 with a bit less treble and upper extension.,A-,B+,BA,Zeppelin & Co demo unit,74,31,43,160
B+,★,DUNU DK-3001 Pro,470,Warm neutral,Well-tuned and coherent. Does little wrong and very easy to like.,A-,B+,3BA 1DD,Available for demo at The Hangout,74,31,43,470
B+,★,MiM Dark Magician,500,Neutral,,A-,B+,DD,Third party unit,74,31,43,500
B+,,Ultimate Ears Reference Remastered (UERR),1000,Neutral with laid-back treble,Warm with good tonality. Good all-rounder albeit definitely not a reference signature.,B+,A-,3BA,Music Sanctuary demo unit,74,43,31,1000
B+,,Unique Melody MEXT,1100,U-shaped,,B+,A-,1BC 4BA 1DD,Available for demo at The Hangout,74,43,31,1100
B+,,FAudio Dark Sky,1100,V-shaped,,A-,B+,DD,Zeppelin & Co demo unit,74,31,43,1100
B+,,Vision Ears VE7,1300,Warm neutral,Fairly inoffensive tuning with solid technicalities.,B+,A-,7BA,E1 demo unit,74,43,31,1300
B+,,Unique Melody MEST,1400,Neutral with bass boost,"A smooth, relaxing listen (in custom form) backed up with good technicalities. ",B+,A-,1BC 2EST 4BA 1DD,Review custom,74,43,31,1400
B+,,Unique Melody MEST Mk2,1500,Neutral with bass boost,"Pretty much the same as the Mk1, though with extra sub-bass presence.",B+,A-,1BC 2EST 4BA 1DD,Third party unit,74,43,31,1500
B+,,Elysian Hades V2,1550,Variable,Upper-mid forward signature with intense upper treble response.,B+,A-,6BA,Showfloor demo unit,74,43,31,1550
B+,,Elysian Terminator V2,2500,V-shaped,"A more intense, upper-mid forward Terminator V1 with the same level of technical ability.",B+,A-,8BA,Showfloor demo unit,74,43,31,2500
B+,,Elysian Terminator,Discont.,Warm V-shape,Well rounded smooth signature that doesn't offend.,B+,A-,8BA,Showfloor demo unit,74,43,31,99999
B+,★,DUNU x Z Reviews SA6 Ultra,600,U-shaped,,B,A,6BA,Third party unit,78,57,21,600
B+,,Hidition NT6 Pro,1100,Neutral with bass boost,A V-shaped version of the NT6. The change in tuning kills the technical ability slightly,B,A,6BA,Null Audio demo unit,78,57,21,1100
B+,,InEar Prophile-8,1600,Neutral,"Very ""studio"" like sound, heavy priority on technicalities if a little dead-sounding.",A,B,8BA,Music Sanctuary demo unit,78,21,57,1600
B+,,64 Audio A18S,3000,Warm neutral,Warning: the demo unit does not sound like the custom. Demos are sub-bass focused while customs are warm.,B,A,18BA,Third party custom,78,57,21,3000
B+,,Fatfreq Maestro,Discont.,U-shaped,,A,B,,Showfloor demo unit,78,21,57,99999
B+,,Audeze Euclid,1300,Mild V-shape,Certainly far better tuned than its predecessors with the same excellent technicalities.,B-,S-,Planar,Available for demo at The Hangout,80,73,7,1300
B+,★★,Unique Melody 2HT “Terminator”,200,U-shaped,Tonality almost reminds me of a HYLA hybrid. Well tuned with strong technical performance.,B+,B+,1BA 1DD,Third party unit,86,43,43,200
B+,★,iBasso AM05,300,Neutral,"Well-balanced tonality, slightly tilted towards brightness. Probably the best iBasso IEM yet.",B+,B+,5BA,Zeppelin & Co demo unit,86,43,43,300
B+,★,Fearless S6Pro,390,Neutral,Technical tuning with very forward detailing.,B+,B+,6BA,Music Sanctuary demo unit,86,43,43,390
B+,★,iBasso IT04,500,U-shaped,A nice improvement over the IT03 though midrange hollowness still exists.,B+,B+,3BA 1DD,E1 demo unit,86,43,43,500
B+,,JQ Hua Jiang,750,Neutral with bass boost,"Somewhat subdued and ""safe"" tuning with decent resolving ability.",B+,B+,2EST 6BA 1DD,Third party unit,86,43,43,750
B+,,Oriolus MK2,1100,V-shaped,Lively yet non-fatiguing hybrid experience.,B+,B+,3BA 1DD,Zeppelin & Co demo unit,86,43,43,1100
B+,,FiR M3,1200,Warm neutral,"Interesting tubeless technology, though the imaging improvements are minimal.",B+,B+,2BA 1DD,Showfloor demo unit,86,43,43,1200
B+,,64 Audio N8,1700,Bassy,"Sub-bass focus, rich and smooth yet relatively neutral in tone.",B+,B+,8BA 1DD,Personal custom,86,43,43,1700
B+,,FiR M4,1900,Warm neutral,Too similar to the M3 to be worth the price markup.,B+,B+,3BA 1DD,Showfloor demo unit,86,43,43,1900
B+,,FitEar MH334SR,2000,Warm neutral,A MH334 with more treble extension and more opened imaging.,B+,B+,4BA,Third party unit,86,43,43,2000
B+,,Jomo Flamenco,2200,Warm neutral,Tuned to be more pleasing and tonally accurate compared to the old Flamenco at the cost of sheer detail.,B-,A+,11BA,Showfloor demo unit,86,73,13,2200
B+,,FiR M5,2800,Warm V-shape,Warmer than the M3 and M4 with lower resolution.,B+,B+,1EST 3BA 1DD,Showfloor demo unit,86,43,43,2800
B+,,Empire Ears Legend EVO,3100,Bassy,,B+,B+,5BA 2DD 1BC,Zeppelin & Co demo unit,86,43,43,3100
B+,,Mofasest M14,Discont.,Neutral with bass boost,"Essentially a more tonally ""correct"" version of the ThieAudio V14.",B+,B+,14BA,Third party unit,86,43,43,99999
B,★★★,Moondrop Aria,80,Mild V-shape,A cheaper Starfield.,A-,B,DD,Available for demo at The Hangout,88,31,57,80
B,★★★,DUNU Titan S,80,Mild V-shape,,A-,B,DD,Available for demo at The Hangout,88,31,57,80
B,★★,Moondrop Starfield,110,Mild V-shape,A cheaper KXXS.,A-,B,DD,Available for demo at The Hangout,88,31,57,110
B,★★,Samsung Galaxy Buds,130,Neutral,A surprisingly well-tuned TWS with the technical chops to boot.,A-,B,DD,Personal unit,88,31,57,130
B,★★,Moondrop KXXS,190,Mild V-shape,Well-tuned single DD with proper timbre and decent technicalities.,A-,B,DD,Available for demo at The Hangout,88,31,57,190
B,★,JVC HA-FD01,300,Bright V-shape,"Upper-mid forward signature can get a little shouty, but a decently technical DD still.",B,A-,DD,Stereo SG demo unit,88,57,31,300
B,★,JVC HA-FD02,300,Bright V-shape,"Upper-mid forward signature can get a little shouty, but a decently technical DD still.",B,A-,DD,Stereo SG demo unit,88,57,31,300
B,★,FAudio Minor,520,Mild V-shape,"Well-balanced tonality and tuning, held back by middling technicalities.",A-,B,DD,Third party unit,88,31,57,520
B,,DUNU SA6,550,Neutral with bass boost,"Tonality reminiscent of the Anole VX, though not up to the same level of technicalities.",B,A-,6BA,Available for demo at The Hangout,88,57,31,550
B,,Aya Siren,600,Neutral,"Very neutral, very well-tuned, though not very snappy in the treble.",A-,B,2EST 4BA,Available for demo at The Hangout,88,31,57,600
B,,Acoustune HS1650,650,V-shaped,Well textured and energetic with a sub-bass focus.,B,A-,DD,,88,57,31,650
B,,Shuoer x HBB EJ07M Kinda Lava Edition,670,Mild V-shape,,A-,B,4EST 2BA 1DD,Third party unit,88,31,57,670
B,,Unique Melody Martian,700,Neutral with bass boost,Well-tuned hybrid with excellent bass response and smooth midrange.,A-,B,2BA 2DD,Stereo SG demo unit,88,31,57,700
B,,Acoustune HS1670,800,V-shaped,Metallic and shrill timbre makes this hard to enjoy.,B,A-,DD,Zeppelin & Co demo unit,88,57,31,800
B,,Fatfreq Sakura,950,Neutral,,A-,B,6BA,Showfloor demo unit,88,31,57,950
B,,ThieAudio Voyager 14 (V14),1000,Neutral,"Evokes a qdc-ish house sound, though stumbles in both tuning refinement and technicalities.",B,A-,14BA,Third party unit,88,57,31,1000
B,,Fearless Lancelot,1300,Warm,Rather generic tuning with no redeeming qualities for its price and status.,B,A-,2EST 6BA,Music Sanctuary demo unit,88,57,31,1300
B,,"Tansio Mirai TSMR-12 ""Zodiac""",1330,Neutral,"Very clean, monitor/reference-style sound.",B,A-,12BA,Available for demo at The Hangout,88,57,31,1330
B,,Acoustune HS1695Ti,Discont.,U-shaped,Sub-bass focused emphasis balanced out by midtreble peaks.,B,A-,DD,Zeppelin & Co demo unit,88,57,31,99999
B,,SeeAudio Miu,650,U-shaped,,A,B-,2EST 2BA 1DD,e-Earphone demo unit,94,21,73,650
B,,Moondrop Solis,1100,Warm neutral,A good implementation of the EST drivers with Moondrop's signature tuning specialties.,A,B-,4BA 2EST,Available for demo at The Hangout,94,21,73,1100
B,,HYLA TE-5T,1300,Bright U-shape,"Very Japanese-sounding with a massive upper harmonic focus, too much for many genres.",B-,A,1Piezo 2BA 1DD,Zeppelin & Co demo unit,94,73,21,1300
B,,Unique Melody Maestro V2,2000,"""Balanced""",It's... there. An IEM that exists. Hard to find words for this one.,B-,A,12BA,Stereo SG demo unit,94,73,21,2000
B,,Final Audio A8000,2000,Bright V-shape,Technically strong but going too far with the treble emphasis.,B-,A,DD,Zeppelin & Co demo unit,94,73,21,2000
B,,Oriolus Percivali,2000,Neutral with bass boost,Lacking body and very thin in the notes. Not recommended for sub-tenor instruments.,B-,A,2EST 2BA 1DD,E1 demo unit,94,73,21,2000
B,,Oriolus Mellianus,2400,Mild V-shape,"Thin and sterile signature that isn't the most natural, but still technically proficient.",B-,A,10BA,Third party unit,94,73,21,2400
B,,Jomo Trinity Brass,2800,Warm,"The warmer of the Trinity models, sacrificing technical ability for a more pleasing and smoother tone.",B-,A,2EST 4BA 1DD,Showfloor demo unit,94,73,21,2800
B,,Prisma Azul,Discont.,Neutral,A well-balanced neutral monitor bottlenecked by sheer resolution and narrow imaging performance.,A,B-,2BA,Available for demo at The Hangout,94,21,73,99999
B,,Jomo Samba,Discont.,V-shaped,"Lively and engaging with big clarity and detail, perhaps too much for some",B-,A,8BA,Music Sanctuary demo unit,94,73,21,99999
B,★★,See Audio Yume,170,Neutral with bass boost,"Excellent tuning with impeccable bass control, though with mushy transients and lacking detail.",S-,C+,2BA 1DD,Oardio demo unit,98,7,91,170
B,,DUNU Luna,1700,Mid-centric,Needs more work on the tuning front.,C+,S-,DD,Available for demo at The Hangout,98,91,7,1700
B,,Dita Dream,1800,V-shaped,Excellent resolution and detail let down by its metallic tonality and thin midrange,C+,S-,DD,Zeppelin & Co demo unit,98,91,7,1800
B,★★,Samsung Galaxy Buds+,150,U-shaped,Tuned even closer to the Harman IE target compared to the original.,B+,B,2DD,Personal unit,100,43,57,150
B,★★,Tanchjim New Hana (2021),180,Mild V-shape,,B+,B,DD,Available for demo at The Hangout,100,43,57,180
B,★,Audiosense DT600,250,Neutral with bass boost,,B+,B,6BA,Available for demo at The Hangout,100,43,57,250
B,★,Etymotic ER4PT,300,Warm neutral,"Slightly rolled off treble with good detail and resolution, though imaging is too two-dimensional.",B+,B,BA,Personal unit,100,43,57,300
B,★,Tanchjim Darling,420,Bright V-shape,A tad shouty but with excellent imaging performance.,B,B+,2BA 1DD,,100,57,43,420
B,,Fearless S8F/S8Pro,490,V-shaped,Tonally pleasing V-shaped signature on a solid technical foundation.,B,B+,8BA,Music Sanctuary demo unit,100,57,43,490
B,,DUNU EST 112,490,Neutral,"Good tonality, though the treble extension is its big Achille's Heel.",B+,B,2EST 1BA 1DD,Available for demo at The Hangout,100,43,57,490
B,,Acoustune HS1750,600,V-shaped,,B,B+,DD,e-Earphone demo unit,100,57,43,600
B,,Oriolus Isabellae,600,Mild V-shape,,B+,B,DD,Third party unit,100,43,57,600
B,,XENNS UP,700,Neutral with bass boost,,B+,B,2EST 4BA 1DD,Available for demo at The Hangout,100,43,57,700
B,,AAW ASH,800,Warm neutral,Smooth tonal balance with decent technicalities.,B,B+,6BA 1DD,Zeppelin & Co demo unit,100,57,43,800
B,,Fatfreq Tsuru,800,Bright neutral,,B+,B,3BA,Showfloor demo unit,100,43,57,800
B,,Shuoer EJ07,850,Dark neutral,Tuned almost Etymotic-like but with underwhelming treble extension bottlenecking it all.,B+,B,4EST 2BA 1DD,Available for demo at The Hangout,100,43,57,850
B,,DUNU Zen Pro,900,V-shaped,,B+,B,DD,e-Earphone demo unit,100,43,57,900
B,,qdc Anole V6,1100,Variable,The more mid-centric of the Anole brothers. Better technicalities but worse timbre.,B,B+,6BA,Music Sanctuary demo unit,100,57,43,1100
B,,Campfire Andromeda (2020),1100,Warm neutral,Basically an Andromeda without the treble spike and slightly boosted midrange.,B,B+,5BA,Third party unit,100,57,43,1100
B,,Campfire Andromeda (S),1100,Warm U-shape,"Highly coherent, easy-to-love tuning and spacious headstage",B,B+,5BA,Zeppelin & Co demo unit,100,57,43,1100
B,,Fatfreq Hayabusa,1320,Mild V-shape,,B+,B,8BA,Showfloor demo unit,100,43,57,1320
B,,See Audio Kaguya,1400,U-shaped,"Somewhat mid-scooped, decent bass and treble extension though with underwhelming resolving ability.",B,B+,4EST 4BA,Oardio demo unit,100,57,43,1400
B,,Softears Cerberus,2100,Dark neutral,"Lacking definition in the treble, otherwise a decently balanced tribrid IEM.",B,B+,2EST 4BA 1DD,Showfloor demo unit,100,57,43,2100
B,,Ultimate Ears UE4 Pro,Discont.,Neutral,Pretty much a mini-UE7.,B,B+,2BA,AV One demo unit,100,57,43,99999
B,,A&K T8iE,Discont.,Neutral with bass boost,Hard-to-dislike tuning with excellent clarity and resolution.,B,B+,DD,Zeppelin & Co demo unit,100,57,43,99999
